,slide_name,level,negative,positive,negative_with_tissue,positive_with_tissue
0,tumor_001,4,1556,4,287,4
1,tumor_002,4,1532,2,117,2
2,tumor_005,4,1530,4,135,4
3,tumor_012,4,1504,4,139,2
4,tumor_016,4,1530,30,100,29
5,tumor_019,4,1532,2,93,2
6,tumor_023,4,1553,7,152,7
7,tumor_031,4,1524,36,52,33
8,tumor_035,4,1558,2,157,2
9,tumor_057,4,1556,4,137,4
10,tumor_059,4,1559,1,153,1
11,tumor_064,4,1527,33,125,29
12,tumor_075,4,483,21,139,20
13,tumor_078,4,577,173,228,167
14,tumor_081,4,647,1,249,1
15,tumor_084,4,375,16,155,16
16,tumor_091,4,204,20,83,20
17,tumor_094,4,850,14,369,14
